FID,id,codigo,simt,tipo,clasificac,comuna,zona,eje,desde,hacia,sentido,fila_super,fila_infer,grupo_de_p,identifica,nombre_ust,x,y,zona_paga,n__et,corredor,ubica_corr,rts,tipo_rts,rm,estado_rm,estado,existe_se,codigo_ant,fecha_fich,cod_sol_pa,comentario
6919,6084,L-30-36-35-NS,PG1208,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,ARISTOTELES,ZAROASTRO,N-S,ZAROASTRO,CAMINO PADRE HURTADO,-,-,ZAROASTRO / CAMINO PADRE HURTADO,343822.4,6279655.81,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,4178,
6920,6085,L-30-36-40-SN,PG1215,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,ZAROASTRO,ARISTOTELES,S-N,ARISTàTELES,CAMINO PADRE HURTADO,-,-,ARISTàTELES / CAMINO PADRE HURTADO,343848.93,6279624.15,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6921,6086,L-30-36-50-NS,PG1209,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,,ALMTE RIVEROS,N-S,ALMIRANTE RIVEROS,CAMINO PADRE HURTADO,-,-,ALMIRANTE RIVEROS / CAMINO PADRE HURTADO,343911.8,6279124.74,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6922,6087,L-30-36-55-SN,PG1602,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,CAMINO INT DE PARCELA,ALMTE RIVEROS,S-N,ALMIRANTE RIVEROS,CAMINO PADRE HURTADO,-,-,ALMIRANTE RIVEROS / CAMINO PADRE HURTADO,343983.13,6279040.75,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,2784,
6923,6088,L-30-36-60-NS,PG1210,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,ALMRTE RIVEROS,LOS CANELOS,N-S,CEMENTERIO PARQUE SACRAMENTAL,CAMINO PADRE HURTADO,CEMENTERIO PARQUE SACRAMENTAL,-,CEMENTERIO PARQUE SACRAMENTAL,344042.54,6278558.28,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,4177,
6924,6089,L-30-36-65-SN,PG1214,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,,LOS CANELOS,S-N,CEMENTERIO PARQUE SACRAMENTAL,CAMINO PADRE HURTADO,CEMENTERIO PARQUE SACRAMENTAL,-,CEMENTERIO PARQUE SACRAMENTAL,344074,6278524.2,0,,,,,,0,,SIN REFUGIO,UC-Ene/2012-Instalaci¢n,,,4176,
6925,6090,L-30-36-70-SN,PG1213,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LAS PIRCAS,LOS CANELOS,S-N,LAS PIRCAS,CAMINO PADRE HURTADO,-,-,LAS PIRCAS / CAMINO PADRE HURTADO,344224.73,6278006.41,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6926,6091,L-30-36-75-NS,PG1211,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LOS CANELOS,LAS PIRCAS,N-S,LAS PIRCAS,CAMINO PADRE HURTADO,-,-,LAS PIRCAS / CAMINO PADRE HURTADO,344185.42,6277988.94,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6927,6092,L-30-36-76-NS,PG1604,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LOS CANELOS,ALICAHUE,N-S,ALICAHUE,CAMINO PADRE HURTADO,-,-,ALICAHUE / CAMINO PADRE HURTADO,344310.92,6277712.65,0,,,,,,0,,SIN ANDN,SERVIU-Dic/2010,,,,
6928,6093,L-30-36-77-SN,PG1600,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,QUIMAHUE,ALICAHUE,S-N,ALICAHUE,CAMINO PADRE HURTADO,-,-,ALICAHUE / CAMINO PADRE HURTADO,344343.63,6277721.39,0,,,,,,0,,SIN ANDN,SERVIU-Dic/2010,,,,
6929,6094,L-30-36-78-NS,PG1603,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,ALICAHUE,QUIMAHUE,N-S,QUIMAHUE,CAMINO PADRE HURTADO,-,-,QUIMAHUE / CAMINO PADRE HURTADO,344475.26,6277300.04,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6930,6095,L-30-36-79-SN,PG1601,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,CAMINO LOS MORROS,QUIMAHUE,S-N,QUIMAHUE,CAMINO PADRE HURTADO,-,-,QUIMAHUE / CAMINO PADRE HURTADO,344534.36,6277305.88,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6931,6096,L-30-36-79-NS,PG1754,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LOS CàNDORES,CAMINO LOS MORROS,N-S,LOS CàNDORES,CAMINO PADRE HURTADO,CAMINO PADRE HURTADO ALT. 18400,-,CAMINO PADRE HURTADO ALT. 18400,344680.24,6276878.33,0,,,,,,0,,SIN REFUGIO,UC-Jun/2012-Instalaci¢n,,mar-12,,
6932,6097,L-30-36-80-NS,PG1212,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,LOS CàNDORES,CAMINO LOS MORROS,N-S,CAMINO LOS MORROS,CAMINO PADRE HURTADO,-,-,CAMINO LOS MORROS / CAMINO PADRE HURTADO,344798.83,6276673.14,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6933,6098,L-30-36-82-SN,PG1755,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,CAMINO LOS MORROS,LOS CàNDORES,S-N,LOS CàNDORES,CAMINO PADRE HURTADO,CAMINO PADRE HURTADO ALT. 18400,-,CAMINO PADRE HURTADO ALT. 18400,344701.96,6276873.75,0,,,,,,0,,SIN REFUGIO,UC-Jun/2012-Instalaci¢n,,mar-12,,
6934,6099,L-30-36-85-NS,PG1630,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,CAMINO LOS MORROS,SAN ADOLFO,N-S,ALT. 19900,CAMINO PADRE HURTADO,CAMINO PADRE HURTADO ALT. 19900,-,CAMINO PADRE HURTADO ALT. 19900,344999.26,6276451.3,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6935,6100,L-30-36-85-SN,PG719,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,SAN ADOLFO,CAMINO LOS MORROS,S-N,CAMINO LOS MORROS,CAMINO PADRE HURTADO,-,-,CAMINO LOS MORROS / CAMINO PADRE HURTADO,344883.95,6276628.84,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,4850,
6936,6101,L-30-36-87-SN,PG1614,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,SAN ADOLFO,CAM. DE NOS A LOS MORROS,S-N,ALT. 19900,CAMINO PADRE HURTADO,CAMINO PADRE HURTADO ALT. 19900,-,CAMINO PADRE HURTADO ALT. 19900,345069.97,6276400.02,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6937,6102,L-30-36-90-NS,PG711,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,CAMINO LOS MORROS,SAN ADOLFO,N-S,SAN ADOLFO,CAMINO PADRE HURTADO,-,-,SAN ADOLFO / CAMINO PADRE HURTADO,345191.7,6276221.66,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,4852,
6938,6103,L-30-36-95-SN,PG718,PS,ACTIVO,SAN BERNARDO,G,CAMINO PADRE HURTADO,SAN LEON GRANDE,SAN ADOLFO,S-N,SAN ADOLFO,CAMINO PADRE HURTADO,-,-,SAN ADOLFO / CAMINO PADRE HURTADO,345212.67,6276216.25,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
